1987-01-15,昭和62年,成人の日
1987-02-11,昭和62年,建国記念の日
1987-03-21,昭和62年,春分の日
1987-04-29,昭和62年,天皇誕生日
1987-05-03,昭和62年,憲法記念日
1987-05-04,昭和62年,振替休日
1987-05-05,昭和62年,こどもの日
1987-09-15,昭和62年,敬老の日
1987-09-23,昭和62年,秋分の日
1987-10-10,昭和62年,体育の日
1987-11-03,昭和62年,文化の日
1987-11-23,昭和62年,勤労感謝の日
1988-01-01,昭和63年,元日
1988-01-15,昭和63年,成人の日
1988-02-11,昭和63年,建国記念の日
1988-03-20,昭和63年,春分の日
1988-03-21,昭和63年,振替休日
1988-04-29,昭和63年,天皇誕生日
1988-05-03,昭和63年,憲法記念日
1988-05-04,昭和63年,国民の休日
1988-05-05,昭和63年,こどもの日
1988-09-15,昭和63年,敬老の日
1988-09-23,昭和63年,秋分の日
1988-10-10,昭和63年,体育の日
1988-11-03,昭和63年,文化の日
1988-11-23,昭和63年,勤労感謝の日
1989-01-01,平成1年,元日
1989-01-02,平成1年,振替休日
1989-01-15,平成1年,成人の日
1989-01-16,平成1年,振替休日
1989-02-11,平成1年,建国記念の日
1989-02-24,平成1年,昭和天皇の大喪の礼
1989-03-21,平成1年,春分の日
1989-04-29,平成1年,みどりの日
1989-05-03,平成1年,憲法記念日
1989-05-04,平成1年,国民の休日
1989-05-05,平成1年,こどもの日
1989-09-15,平成1年,敬老の日
1989-09-23,平成1年,秋分の日
1989-10-10,平成1年,体育の日
1989-11-03,平成1年,文化の日
1989-11-23,平成1年,勤労感謝の日
1989-12-23,平成1年,天皇誕生日
1990-01-01,平成2年,元日
1990-01-15,平成2年,成人の日
1990-02-11,平成2年,建国記念の日
1990-02-12,平成2年,振替休日
1990-03-21,平成2年,春分の日
1990-04-29,平成2年,みどりの日
1990-04-30,平成2年,振替休日
1990-05-03,平成2年,憲法記念日
1990-05-04,平成2年,国民の休日
1990-05-05,平成2年,こどもの日
1990-09-15,平成2年,敬老の日
1990-09-23,平成2年,秋分の日
1990-09-24,平成2年,振替休日
1990-10-10,平成2年,体育の日
1990-11-03,平成2年,文化の日
1990-11-12,平成2年,即位の礼正殿の儀
1990-11-23,平成2年,勤労感謝の日
1990-12-23,平成2年,天皇誕生日
1990-12-24,平成2年,振替休日
1991-01-01,平成3年,元日
1991-01-15,平成3年,成人の日
